Timeseries,kW,W
2023-07-13 19:00:00+02:00,3.54,3540
2023-07-13 19:15:00+02:00,2.56,2560
2023-07-13 19:30:00+02:00,2.4,2400
2023-07-13 19:45:00+02:00,1.8,1800
2023-07-13 20:00:00+02:00,1.53,1530
2023-07-13 20:15:00+02:00,1.07,1070
2023-07-13 20:30:00+02:00,0.67,670
2023-07-13 20:45:00+02:00,0.33,330
2023-07-13 21:00:00+02:00,0.02,20
2023-07-13 21:15:00+02:00,0,0
2023-07-13 21:30:00+02:00,0,0
2023-07-13 21:45:00+02:00,0,0
2023-07-13 22:00:00+02:00,0,0
2023-07-13 22:15:00+02:00,0,0
2023-07-13 22:30:00+02:00,0,0
2023-07-13 22:45:00+02:00,0,0
2023-07-13 23:00:00+02:00,0,0
2023-07-13 23:15:00+02:00,0,0
2023-07-13 23:30:00+02:00,0,0
2023-07-13 23:45:00+02:00,0,0
2023-07-14 00:00:00+02:00,0,0
2023-07-14 00:15:00+02:00,0,0
2023-07-14 00:30:00+02:00,0,0
2023-07-14 00:45:00+02:00,0,0
2023-07-14 01:00:00+02:00,0,0
2023-07-14 01:15:00+02:00,0,0
2023-07-14 01:30:00+02:00,0,0
2023-07-14 01:45:00+02:00,0,0
2023-07-14 02:00:00+02:00,0,0
2023-07-14 02:15:00+02:00,0,0
2023-07-14 02:30:00+02:00,0,0
2023-07-14 02:45:00+02:00,0,0
2023-07-14 03:00:00+02:00,0,0
2023-07-14 03:15:00+02:00,0,0
2023-07-14 03:30:00+02:00,0,0
2023-07-14 03:45:00+02:00,0,0
2023-07-14 04:00:00+02:00,0,0
2023-07-14 04:15:00+02:00,0,0
2023-07-14 04:30:00+02:00,0,0
2023-07-14 04:45:00+02:00,0,0
2023-07-14 05:00:00+02:00,0,0
2023-07-14 05:15:00+02:00,0,0
2023-07-14 05:30:00+02:00,0.1,100
2023-07-14 05:45:00+02:00,0.48,480
2023-07-14 06:00:00+02:00,0.72,720
2023-07-14 06:15:00+02:00,1,1000
2023-07-14 06:30:00+02:00,1.13,1130
2023-07-14 06:45:00+02:00,1.26,1260
2023-07-14 07:00:00+02:00,1.53,1530
2023-07-14 07:15:00+02:00,2.59,2590
2023-07-14 07:30:00+02:00,3.909999999,3909.999999
2023-07-14 07:45:00+02:00,5.34,5340
2023-07-14 08:00:00+02:00,6.860000001,6860.000001
2023-07-14 08:15:00+02:00,8.43,8430
2023-07-14 08:30:00+02:00,10.05,10050
2023-07-14 08:45:00+02:00,11.67,11670
2023-07-14 09:00:00+02:00,13.32,13320
2023-07-14 09:15:00+02:00,14.92,14920
2023-07-14 09:30:00+02:00,16.5,16500
2023-07-14 09:45:00+02:00,18.04,18040
2023-07-14 10:00:00+02:00,19.51,19510
2023-07-14 10:15:00+02:00,19.97,19970
2023-07-14 10:30:00+02:00,22.23,22230
2023-07-14 10:45:00+02:00,22.98,22980
2023-07-14 11:00:00+02:00,23.96,23960
2023-07-14 11:15:00+02:00,25.09,25090
2023-07-14 11:30:00+02:00,26.23,26230
2023-07-14 11:45:00+02:00,27.33,27330
2023-07-14 12:00:00+02:00,27.68,27680
2023-07-14 12:15:00+02:00,25.78,25780
2023-07-14 12:30:00+02:00,28.64,28640
2023-07-14 12:45:00+02:00,29.37,29370
2023-07-14 13:00:00+02:00,29.52,29520
2023-07-14 13:15:00+02:00,29.52,29520
2023-07-14 13:30:00+02:00,26.8,26800
2023-07-14 13:45:00+02:00,15.66,15660
2023-07-14 14:00:00+02:00,12.45,12450
2023-07-14 14:15:00+02:00,19.02,19020
2023-07-14 14:30:00+02:00,19.53,19530
2023-07-14 14:45:00+02:00,21.91,21910
2023-07-14 15:00:00+02:00,20.12,20120
2023-07-14 15:15:00+02:00,17.13,17130
2023-07-14 15:30:00+02:00,9.669999999,9669.999999
2023-07-14 15:45:00+02:00,14.23,14230
2023-07-14 16:00:00+02:00,11.21,11210
2023-07-14 16:15:00+02:00,8.180000001,8180.000001
2023-07-14 16:30:00+02:00,6.590000001,6590.000001
2023-07-14 16:45:00+02:00,13.28,13280
2023-07-14 17:00:00+02:00,14.51,14510
2023-07-14 17:15:00+02:00,14.34,14340
2023-07-14 17:30:00+02:00,12.72,12720
2023-07-14 17:45:00+02:00,11.1,11100
2023-07-14 18:00:00+02:00,9.459999999,9459.999999
2023-07-14 18:15:00+02:00,7.83,7830
2023-07-14 18:30:00+02:00,6.230000001,6230.000001
2023-07-14 18:45:00+02:00,4.700000001,4700.000001
2023-07-14 19:00:00+02:00,3.249999999,3249.999999
2023-07-14 19:15:00+02:00,1.92,1920
2023-07-14 19:30:00+02:00,1.08,1080
2023-07-14 19:45:00+02:00,0.99,990
2023-07-14 20:00:00+02:00,0.87,870
2023-07-14 20:15:00+02:00,0.72,720
2023-07-14 20:30:00+02:00,0.57,570
2023-07-14 20:45:00+02:00,0.33,330
2023-07-14 21:00:00+02:00,0.02,20
2023-07-14 21:15:00+02:00,0,0
2023-07-14 21:30:00+02:00,0,0
2023-07-14 21:45:00+02:00,0,0
2023-07-14 22:00:00+02:00,0,0
2023-07-14 22:15:00+02:00,0,0
2023-07-14 22:30:00+02:00,0,0
2023-07-14 22:45:00+02:00,0,0
2023-07-14 23:00:00+02:00,0,0
2023-07-14 23:15:00+02:00,0,0
2023-07-14 23:30:00+02:00,0,0
2023-07-14 23:45:00+02:00,0,0
2023-07-15 00:00:00+02:00,0,0
2023-07-15 00:15:00+02:00,0,0
2023-07-15 00:30:00+02:00,0,0
2023-07-15 00:45:00+02:00,0,0
2023-07-15 01:00:00+02:00,0,0
2023-07-15 01:15:00+02:00,0,0
2023-07-15 01:30:00+02:00,0,0
2023-07-15 01:45:00+02:00,0,0
2023-07-15 02:00:00+02:00,0,0
2023-07-15 02:15:00+02:00,0,0
2023-07-15 02:30:00+02:00,0,0
2023-07-15 02:45:00+02:00,0,0
2023-07-15 03:00:00+02:00,0,0
2023-07-15 03:15:00+02:00,0,0
2023-07-15 03:30:00+02:00,0,0
2023-07-15 03:45:00+02:00,0,0
2023-07-15 04:00:00+02:00,0,0
2023-07-15 04:15:00+02:00,0,0
2023-07-15 04:30:00+02:00,0,0
2023-07-15 04:45:00+02:00,0,0
2023-07-15 05:00:00+02:00,0,0
2023-07-15 05:15:00+02:00,0,0
2023-07-15 05:30:00+02:00,0.09,90
2023-07-15 05:45:00+02:00,0.33,330
2023-07-15 06:00:00+02:00,0.47,470
2023-07-15 06:15:00+02:00,0.57,570
2023-07-15 06:30:00+02:00,0.64,640
2023-07-15 06:45:00+02:00,0.7,700
2023-07-15 07:00:00+02:00,0.93,930
2023-07-15 07:15:00+02:00,2.19,2190
2023-07-15 07:30:00+02:00,3.66,3660
2023-07-15 07:45:00+02:00,5.22,5220
2023-07-15 08:00:00+02:00,6.84,6840
2023-07-15 08:15:00+02:00,8.499999999,8499.999999
2023-07-15 08:30:00+02:00,10.18,10180
2023-07-15 08:45:00+02:00,11.86,11860
2023-07-15 09:00:00+02:00,13.52,13520
2023-07-15 09:15:00+02:00,15.15,15150
2023-07-15 09:30:00+02:00,16.76,16760
2023-07-15 09:45:00+02:00,18.3,18300
2023-07-15 10:00:00+02:00,19.78,19780
2023-07-15 10:15:00+02:00,21.2,21200
2023-07-15 10:30:00+02:00,22.52,22520
2023-07-15 10:45:00+02:00,23.76,23760
2023-07-15 11:00:00+02:00,24.89,24890
2023-07-15 11:15:00+02:00,25.88,25880
2023-07-15 11:30:00+02:00,26.78,26780
2023-07-15 11:45:00+02:00,27.54,27540
2023-07-15 12:00:00+02:00,28.22,28220
2023-07-15 12:15:00+02:00,28.76,28760
2023-07-15 12:30:00+02:00,29.19,29190
2023-07-15 12:45:00+02:00,29.47,29470
2023-07-15 13:00:00+02:00,29.64,29640
2023-07-15 13:15:00+02:00,29.69,29690
2023-07-15 13:30:00+02:00,29.6,29600
2023-07-15 13:45:00+02:00,29.38,29380
2023-07-15 14:00:00+02:00,29.03,29030
2023-07-15 14:15:00+02:00,28.56,28560
2023-07-15 14:30:00+02:00,27.96,27960
2023-07-15 14:45:00+02:00,27.24,27240
2023-07-15 15:00:00+02:00,26.39,26390
2023-07-15 15:15:00+02:00,25.42,25420
2023-07-15 15:30:00+02:00,24.32,24320
2023-07-15 15:45:00+02:00,23.14,23140
2023-07-15 16:00:00+02:00,21.86,21860
2023-07-15 16:15:00+02:00,20.5,20500
2023-07-15 16:30:00+02:00,19.06,19060
2023-07-15 16:45:00+02:00,17.51,17510
2023-07-15 17:00:00+02:00,14.06,14060
2023-07-15 17:15:00+02:00,13.97,13970
2023-07-15 17:30:00+02:00,12.11,12110
2023-07-15 17:45:00+02:00,11.04,11040
2023-07-15 18:00:00+02:00,9.350000001,9350.000001
2023-07-15 18:15:00+02:00,7.760000001,7760.000001
2023-07-15 18:30:00+02:00,6.140000001,6140.000001
2023-07-15 18:45:00+02:00,4.56,4560
2023-07-15 19:00:00+02:00,3.069999999,3069.999999
2023-07-15 19:15:00+02:00,1.68,1680
2023-07-15 19:30:00+02:00,0.78,780
2023-07-15 19:45:00+02:00,1.28,1280
2023-07-15 20:00:00+02:00,1.03,1030
2023-07-15 20:15:00+02:00,0.57,570
2023-07-15 20:30:00+02:00,0.47,470
2023-07-15 20:45:00+02:00,0.29,290
2023-07-15 21:00:00+02:00,0.02,20
2023-07-15 21:15:00+02:00,0,0
2023-07-15 21:30:00+02:00,0,0
2023-07-15 21:45:00+02:00,0,0
2023-07-15 22:00:00+02:00,0,0
2023-07-15 22:15:00+02:00,0,0
2023-07-15 22:30:00+02:00,0,0
2023-07-15 22:45:00+02:00,0,0
2023-07-15 23:00:00+02:00,0,0
2023-07-15 23:15:00+02:00,0,0
2023-07-15 23:30:00+02:00,0,0
2023-07-15 23:45:00+02:00,0,0
2023-07-16 00:00:00+02:00,0,0
2023-07-16 00:15:00+02:00,0,0
2023-07-16 00:30:00+02:00,0,0
2023-07-16 00:45:00+02:00,0,0
2023-07-16 01:00:00+02:00,0,0
2023-07-16 01:15:00+02:00,0,0
2023-07-16 01:30:00+02:00,0,0
2023-07-16 01:45:00+02:00,0,0
2023-07-16 02:00:00+02:00,0,0
2023-07-16 02:15:00+02:00,0,0
2023-07-16 02:30:00+02:00,0,0
2023-07-16 02:45:00+02:00,0,0
2023-07-16 03:00:00+02:00,0,0
2023-07-16 03:15:00+02:00,0,0
2023-07-16 03:30:00+02:00,0,0
2023-07-16 03:45:00+02:00,0,0
2023-07-16 04:00:00+02:00,0,0
2023-07-16 04:15:00+02:00,0,0
